Panini_id,sofifa_id,player_url,short_name,long_name,player_positions,name,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,va al mundial,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
11,212616,https://sofifa.com/player/212616/rodrigo-javier-de-paul/220002,R. De Paul,Rodrigo Javier De Paul,"CM, CF",Rodrigo Javier De Paul,82,83,35000000,68000,27,5/24/1994,180,70,240,Atl泰tico de Madrid,Spain Primera Division,1,SUB,5,,7/12/2021,2026,52,Argentina,1369,RCM,7,Right,3,4,1,High/Medium,Normal (170-185),No,si,74400000,,"Finesse Shot, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",78,76,80,82,71,79,69,76,50,85,70,81,84,73,81,85,81,76,78,81,79,80,67,86,81,78,69,74,78,80,65,80,68,79,69,13,12,10,7,14,,77+2,77+2,77+2,80,80,80,80,80,81+2,81+2,81+2,80+2,82+1,82+1,82+1,80+2,77+2,79+2,79+2,79+2,77+2,76+2,73+2,73+2,73+2,76+2,19+2,https://cdn.sofifa.net/players/212/616/22_120.png,https://cdn.sofifa.net/teams/240/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
12,232488,https://sofifa.com/player/232488/cristian-romero/220002,C. Romero,Cristian Gabriel Romero,CB,Cristian Romero,82,87,41500000,51000,23,4/27/1998,185,79,18,Tottenham Hotspur,English Premier League,1,SUB,4,Atalanta,,2022,52,Argentina,1369,RCB,13,Right,2,3,3,Low/High,Normal (185+),No,si,,,Dives Into Tackles (AI),76,46,52,61,83,84,39,48,83,69,53,50,43,38,49,68,80,73,72,81,68,51,86,83,82,37,89,80,39,43,40,78,83,84,83,5,7,11,10,14,,60+3,60+3,60+3,57,58,58,58,57,58+3,58+3,58+3,59+3,61+3,61+3,61+3,59+3,73+3,74+3,74+3,74+3,73+3,76+3,82+3,82+3,82+3,76+3,17+3,https://cdn.sofifa.net/players/232/488/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
13,192366,https://sofifa.com/player/192366/nicolas-otamendi/220002,N. Otamendi,Nicol塘s Hern塘n Gonzalo Otamendi,CB,Nicolas Otamendi,81,81,12500000,18000,33,2/12/1988,183,76,234,SL Benfica,Portuguese Liga ZON SAGRES,1,CB,30,,9/29/2020,2023,52,Argentina,1369,LCB,19,Right,3,2,3,Medium/High,Normal (170-185),Yes,si,25000000,,"Solid Player, Dives Into Tackles (AI), Leadership, Power Header",63,57,62,59,83,81,52,54,79,73,57,51,50,39,70,66,60,65,58,79,58,69,88,75,80,56,90,84,48,53,45,79,84,83,80,12,5,8,11,12,,63+3,63+3,63+3,59,61,61,61,59,61+3,61+3,61+3,61+3,67+3,67+3,67+3,61+3,72+3,77+3,77+3,77+3,72+3,75+3,81,81,81,75+3,17+3,https://cdn.sofifa.net/players/192/366/22_120.png,https://cdn.sofifa.net/teams/234/60.png,https://cdn.sofifa.net/flags/pt.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
14,207439,https://sofifa.com/player/207439/leandro-paredes/220002,L. Paredes,Leandro Daniel Paredes,"CDM, CM",Leandro Paredes,81,83,28000000,81000,27,6/29/1994,180,75,73,Paris Saint-Germain,French Ligue 1,1,SUB,8,,1/29/2019,2023,52,Argentina,1369,CDM,5,Right,4,4,2,Medium/Medium,Normal (170-185),Yes,si,53900000,,"Power Free-Kick, Dives Into Tackles (AI), Flair, Long Passer (AI), Long Shot Taker (AI), Outside Foot Shot",66,71,83,79,76,79,79,61,60,84,71,79,80,78,85,81,67,66,71,78,75,88,66,79,77,77,89,75,76,84,64,84,79,78,80,9,14,6,9,10,,73+2,73+2,73+2,76,76,76,76,76,78+2,78+2,78+2,77+2,81+2,81+2,81+2,77+2,78+2,80+2,80+2,80+2,78+2,77+2,77+2,77+2,77+2,77+2,18+2,https://cdn.sofifa.net/players/207/439/22_120.png,https://cdn.sofifa.net/teams/73/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
15,214979,https://sofifa.com/player/214979/juan-musso/220002,J. Musso,Juan Agust�n Musso,GK,Juan Musso,81,83,23500000,44000,27,5/6/1994,191,93,39,Atalanta,Italian Serie A,1,GK,1,,7/2/2021,2025,52,Argentina,1369,SUB,12,Right,3,1,1,Medium/Medium,Normal (185+),No,si,41700000,,,,,,,,,20,18,15,31,15,16,16,12,24,20,46,42,32,71,39,55,51,35,70,14,27,18,19,48,25,67,12,14,16,82,78,73,82,86,44,31+2,31+2,31+2,29,31,31,31,29,30+2,30+2,30+2,30+2,30+2,30+2,30+2,30+2,27+2,28+2,28+2,28+2,27+2,27+2,27+2,27+2,27+2,27+2,80+2,https://cdn.sofifa.net/players/214/979/22_120.png,https://cdn.sofifa.net/teams/39/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
16,215330,https://sofifa.com/player/215330/joaquin-correa/220002,J. Correa,Carlos Joaqu�n Correa,"CF, ST, CAM",Joaquin Correa,81,82,31000000,76000,26,8/13/1994,189,75,44,Inter,Italian Serie A,1,SUB,19,Lazio,,2022,52,Argentina,1369,SUB,16,Right,4,4,1,Medium/Medium,Normal (185+),Yes,si,,,"Finesse Shot, Flair, Technical Dribbler (AI)",84,75,77,85,39,69,74,77,68,81,75,88,81,63,74,86,81,87,83,80,67,79,63,76,74,71,48,36,79,78,57,73,39,37,26,11,10,7,8,8,,79+2,79+2,79+2,81,81,81,81,81,81+1,81+1,81+1,81+1,75+2,75+2,75+2,81+1,63+2,60+2,60+2,60+2,63+2,59+2,52+2,52+2,52+2,59+2,17+2,https://cdn.sofifa.net/players/215/330/22_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
17,226226,https://sofifa.com/player/226226/giovani-lo-celso/220002,G. Lo Celso,Giovani Lo Celso,"CM, CAM",Giovani Lo Celso,81,85,35500000,95000,25,4/9/1996,177,68,18,Tottenham Hotspur,English Premier League,1,SUB,18,,7/27/2020,2025,52,Argentina,1369,LCM,20,Left,3,4,1,High/High,Normal (170-185),Yes,si,70100000,,"Finesse Shot, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",75,76,82,83,69,73,79,75,60,84,69,83,82,79,83,85,76,75,83,82,80,82,57,76,70,75,82,70,76,83,65,80,64,75,68,10,7,10,15,14,,77+2,77+2,77+2,80,80,80,80,80,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,76+2,77+2,77+2,77+2,76+2,74+2,71+2,71+2,71+2,74+2,19+2,https://cdn.sofifa.net/players/226/226/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
18,214584,https://sofifa.com/player/214584/franco-armani/220002,F. Armani,Franco Armani,GK,Franco Armani,80,80,3600000,17000,34,10/16/1986,189,88,1876,River Plate,Argentina Primera Divisi�n,1,GK,1,,1/12/2018,2023,52,Argentina,1369,SUB,1,Right,3,1,1,Medium/Medium,Normal (185+),No,si,5000000,,"Leadership, Cautious With Crosses",,,,,,,18,11,19,35,18,19,15,16,29,35,41,45,37,77,39,50,67,35,81,17,45,21,17,55,20,55,15,13,19,78,76,67,79,85,43,33+2,33+2,33+2,31,34,34,34,31,35+2,35+2,35+2,33+2,35+2,35+2,35+2,33+2,30+2,33+2,33+2,33+2,30+2,29+2,32+2,32+2,32+2,29+2,79+1,https://cdn.sofifa.net/players/214/584/22_120.png,https://cdn.sofifa.net/teams/1876/60.png,https://cdn.sofifa.net/flags/ar.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
19,239301,https://sofifa.com/player/239301/lisandro-martinez/220002,L. Mart�nez,Lisandro Mart�nez,"CB, LB, CDM",Lisandro Martinez,79,85,25000000,16000,23,1/18/1998,178,77,245,Ajax,Holland Eredivisie,1,LCB,21,,7/1/2019,2023,52,Argentina,1369,SUB,25,Left,3,3,2,Medium/High,Normal (170-185),No,si,40000000,,Solid Player,71,58,73,76,79,80,70,52,74,77,52,74,63,53,79,78,74,68,72,77,79,68,88,83,76,63,84,79,62,73,55,81,81,81,76,6,14,13,14,8,,68+2,68+2,68+2,70,70,70,70,70,72+2,72+2,72+2,73+2,75+2,75+2,75+2,73+2,77+2,79+2,79+2,79+2,77+2,77+2,79+2,79+2,79+2,77+2,18+2,https://cdn.sofifa.net/players/239/301/22_120.png,https://cdn.sofifa.net/teams/245/60.png,https://cdn.sofifa.net/flags/nl.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
20,225659,https://sofifa.com/player/225659/guido-rodriguez/220002,G. Rodr�guez,Guido Rodr�guez,"CDM, CM",Guido Rodriguez,78,79,15000000,24000,26,4/11/1995,185,80,449,Real Betis Balompi泰,Spain Primera Division,1,RDM,21,,1/14/2020,2024,52,Argentina,1369,SUB,18,Right,4,2,1,Medium/High,Lean (185+),Yes,si,32600000,,"Dives Into Tackles (AI), Long Shot Taker (AI), Outside Foot Shot",54,56,66,66,80,77,59,43,73,75,47,63,49,42,72,75,53,55,49,75,50,77,42,77,79,69,83,82,56,65,53,70,82,81,77,12,11,14,16,6,,64+2,64+2,64+2,62,64,64,64,62,65+2,65+2,65+2,65+2,71+2,71+2,71+2,65+2,73+2,77+2,77+2,77+2,73+2,73+2,77+2,77+2,77+2,73+2,18+2,https://cdn.sofifa.net/players/225/659/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
21,231340,https://sofifa.com/player/231340/gonzalo-montiel/220002,G. Montiel,Gonzalo Ariel Montiel,"RB, RWB",Gonzalo Montiel,78,84,21000000,23000,24,1/1/1997,175,70,481,Sevilla FC,Spain Primera Division,1,SUB,2,,8/13/2021,2026,52,Argentina,1369,RB,4,Right,3,3,1,High/Medium,Normal (170-185),No,si,48300000,,"Long Throw-in, Dives Into Tackles (AI)",86,53,70,74,73,81,72,41,71,76,41,71,59,39,66,75,87,85,82,75,71,65,80,93,73,59,87,73,77,70,75,75,73,73,73,6,10,11,5,6,,67+2,67+2,67+2,72,71,71,71,72,72+2,72+2,72+2,74+2,73+2,73+2,73+2,74+2,77+2,75+2,75+2,75+2,77+2,76+2,75+2,75+2,75+2,76+2,14+2,https://cdn.sofifa.net/players/231/340/22_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
22,231521,https://sofifa.com/player/231521/exequiel-palacios/220002,E. Palacios,Exequiel Alejandro Palacios,"CM, CDM, CAM",Exequiel Palacios,77,83,17000000,41000,22,10/5/1998,177,67,32,Bayer 04 Leverkusen,German 1. Bundesliga,1,SUB,25,,1/1/2020,2025,52,Argentina,1369,SUB,14,Right,4,4,2,High/High,Lean (170-185),No,si,32300000,,"Dives Into Tackles (AI), Long Passer (AI), Long Shot Taker (AI)",55,73,74,77,72,71,67,70,59,80,63,76,68,47,78,80,74,39,78,69,79,81,70,83,63,76,78,72,67,78,63,78,73,76,74,10,5,8,9,6,,70+2,70+2,70+2,72,73,73,73,72,75+2,75+2,75+2,73+2,77+2,77+2,77+2,73+2,73+2,76+2,76+2,76+2,73+2,71+2,71+2,71+2,71+2,71+2,14+2,https://cdn.sofifa.net/players/231/521/22_120.png,https://cdn.sofifa.net/teams/32/60.png,https://cdn.sofifa.net/flags/de.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
23,237221,https://sofifa.com/player/237221/juan-foyth/220002,J. Foyth,Juan Marcos Foyth,"CB, RB, CDM",Juan Foyth,75,83,11500000,22000,23,1/12/1998,187,69,483,Villarreal CF,Spain Primera Division,1,SUB,8,,7/1/2021,2026,52,Argentina,1369,SUB,28,Right,3,3,1,Medium/High,Lean (185+),Yes,si,26500000,,Dives Into Tackles (AI),66,45,67,72,76,73,69,43,73,74,43,71,61,47,66,76,66,66,70,73,67,56,74,72,74,39,73,74,50,62,47,65,77,78,75,8,15,7,14,9,,61+2,61+2,61+2,65,63,63,63,65,65+2,65+2,65+2,67+2,68+2,68+2,68+2,67+2,73+2,73+2,73+2,73+2,73+2,73+2,75+2,75+2,75+2,73+2,18+2,https://cdn.sofifa.net/players/237/221/22_120.png,https://cdn.sofifa.net/teams/483/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1369/60.png,https://cdn.sofifa.net/flags/ar.png
24,194958,https://sofifa.com/player/194958/aaron-mooy/220002,A. Mooy,Aaron Frank Mooy,"CM, CAM",Aaron Mooy,77,77,10000000,25000,30,9/15/1990,175,68,112540,Shanghai Port FC,Chinese Super League,1,CM,19,,8/28/2020,2023,195,Australia,1415,RDM,8,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,si,15500000,,"Solid Player, Early Crosser, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",63,72,78,75,69,76,77,68,50,80,65,73,73,72,80,77,67,60,70,74,77,76,70,82,74,78,75,70,70,79,73,80,72,72,69,11,8,12,11,12,,70+2,70+2,70+2,73,73,73,73,73,75+2,75+2,75+2,74+2,77,77,77,74+2,74+2,75+2,75+2,75+2,74+2,72+2,70+2,70+2,70+2,72+2,18+2,https://cdn.sofifa.net/players/194/958/22_120.png,https://cdn.sofifa.net/teams/112540/60.png,https://cdn.sofifa.net/flags/cn.png,https://cdn.sofifa.net/teams/1415/60.png,https://cdn.sofifa.net/flags/au.png
